Event,Lab label,Latitude,Longitude,Depth top [m],Depth bot [m],Depth sed [m],Date/Time,pH,CaCO3 [%],TN [%],TS [%],TC [%],TOC [%],EC [µS/cm],2000-630 µm [%],630-200 µm [%],200-125 µm [%],125-63 µm [%],2000-63 µm [%],63-20 µm gU [%],20-6.3 µm mU [%],6.3-2 µm fU [%],63-2 µm [%],2-0.63 µm [%],0.63-0.063 µm [%],2-0.063 µm [%],63-0.063 µm [%],<2000 µm [%],Part size mean [mm]
B07_2023_010,55820,37.07584,42.95384,0.0,0.1,0.05,2023-09-28T00:00,7.10,16.13,0.37,<0.05,5.34,3.40,340.0,7.39,6.55,3.25,3.72,20.90,5.1,15.6,16.3,37.0,17.9,23.5,41.4,78.4,99.30,0.1384
B07_2023_010,55821,37.07584,42.95384,0.1,0.3,0.20,2023-09-28T00:00,7.20,15.85,0.15,<0.05,3.13,1.22,196.2,6.26,4.26,1.46,2.10,14.10,3.7,11.9,14.3,29.9,12.9,42.9,55.8,85.7,99.80,0.1083
B07_2023_012,55833,37.19884,42.73602,0.5,0.7,0.60,2023-10-03T00:00,7.20,22.26,0.08,<0.05,3.00,0.33,344.0,1.36,2.95,1.28,1.70,7.30,2.9,10.6,20.5,34.0,14.7,43.7,58.4,92.4,99.70,0.0377
B07_2023_012,55834,37.19884,42.73602,0.7,1.0,0.85,2023-10-03T00:00,7.20,20.45,0.07,<0.05,3.11,0.65,257.0,2.33,3.02,1.13,1.54,8.00,2.4,10.0,21.2,33.6,14.2,44.1,58.3,91.9,99.90,0.0500
B07_2023_013,55835,37.08964,42.85080,0.0,0.1,0.05,2023-10-03T00:00,7.20,19.74,0.40,0.07,5.70,3.34,370.0,13.09,8.56,3.08,4.85,29.60,5.9,12.1,14.2,32.2,14.5,23.9,38.4,70.6,100.20,0.2220
B07_2023_014,55840,37.09287,42.93916,0.3,0.5,0.40,2023-09-28T00:00,7.60,39.18,0.03,<0.05,4.98,0.28,198.7,11.51,25.39,5.99,6.68,49.60,9.8,12.0,9.1,30.9,6.5,13.3,19.8,50.7,100.30,0.2789
B07_2023_014,55841,37.09287,42.93916,0.5,0.7,0.60,2023-09-28T00:00,7.80,36.97,<0.03,<0.05,4.63,0.20,173.3,18.44,36.79,4.56,3.37,63.20,4.5,8.0,6.9,19.4,4.9,11.9,16.8,36.2,99.40,0.4091
B07_2023_016,55843,37.06322,43.03838,0.0,0.1,0.05,2023-09-28T00:00,7.60,64.62,0.14,<0.05,9.45,1.69,214.0,7.29,8.21,3.06,4.20,22.80,6.3,24.1,26.4,56.8,8.9,11.6,20.5,77.3,100.10,0.1459
B07_2023_016,55844,37.06322,43.03838,0.1,0.3,0.20,2023-09-28T00:00,7.80,76.93,0.08,<0.05,9.97,0.74,125.4,5.63,11.18,3.81,4.60,25.20,6.3,23.8,28.2,58.3,8.8,7.6,16.4,74.7,99.90,0.1380
B07_2023_016,55846,37.06322,43.03838,0.5,0.7,0.60,2023-09-28T00:00,8.20,84.27,<0.03,<0.05,10.47,0.35,90.0,6.69,10.65,5.19,6.86,29.40,11.2,24.6,22.0,57.8,7.6,5.1,12.7,70.5,99.90,0.1560
B07_2023_017,55847,37.18739,42.89278,0.0,0.1,0.05,2023-10-03T00:00,7.30,16.35,0.16,<0.05,3.68,1.72,240.0,5.04,4.50,2.23,3.03,14.80,4.9,13.8,15.0,33.7,11.9,39.8,51.7,85.4,100.20,0.0962
B07_2023_018,55852,37.09492,42.84464,0.0,0.1,0.05,2023-10-03T00:00,7.30,25.85,0.67,0.09,10.75,7.65,636.0,13.32,20.93,9.81,11.82,55.90,7.8,11.8,9.6,29.2,6.1,8.6,14.7,43.9,99.80,0.2944
B07_2023_021,55858,37.17095,42.86431,0.0,0.1,0.05,2023-10-03T00:00,7.50,31.82,<0.03,<0.05,4.18,0.36,229.0,0.39,1.08,0.96,2.91,5.30,8.0,25.5,20.8,54.3,10.7,29.8,40.5,94.8,100.10,0.0217
B07_2023_021,55859,37.17095,42.86431,0.1,0.3,0.20,2023-10-03T00:00,7.50,31.07,<0.03,<0.05,4.35,0.62,198.9,0.19,0.66,3.59,0.74,5.20,10.9,27.8,19.3,58.0,9.9,27.0,36.9,94.9,100.10,0.0210
B07_2023_021,55860,37.17095,42.86431,0.3,0.5,0.40,2023-10-03T00:00,7.50,33.72,0.04,<0.05,4.53,0.48,193.4,0.51,1.64,2.07,7.72,11.90,12.1,23.7,15.8,51.6,9.6,26.9,36.5,88.1,100.00,0.0331
B07_2023_021,55862,37.17095,42.86431,0.7,1.0,0.85,2023-10-03T00:00,7.50,22.02,0.05,<0.05,3.18,0.53,312.0,0.23,1.26,1.16,1.87,4.50,2.7,8.6,23.8,35.1,14.8,46.1,60.9,96.0,100.50,0.0155
B07_2023_023,55867,37.17037,42.89014,0.1,0.3,0.20,2023-10-03T00:00,7.10,13.82,0.12,<0.05,2.71,1.05,237.0,1.83,6.67,3.34,3.53,15.40,4.3,11.3,15.2,30.8,14.8,38.7,53.5,84.3,99.70,0.0647
B07_2023_023,55869,37.17037,42.89014,0.5,0.7,0.60,2023-10-03T00:00,7.20,15.46,0.11,<0.05,2.95,1.10,,1.13,6.01,4.15,4.37,15.70,4.2,10.9,15.8,30.9,12.9,40.4,53.3,84.2,99.90,0.0547
B07_2023_024,55871,37.12369,42.85843,0.0,0.1,0.05,2023-10-03T00:00,7.40,26.57,0.05,<0.05,3.94,0.75,175.6,1.31,5.87,4.43,7.79,19.40,10.6,20.1,19.7,50.4,11.4,18.8,30.2,80.6,100.00,0.0642
B07_2023_024,55873,37.12369,42.85843,0.3,0.5,0.40,2023-10-03T00:00,7.40,22.93,0.04,<0.05,3.22,0.46,148.0,1.06,4.93,3.62,7.67,17.30,9.5,22.5,20.4,52.4,11.6,18.5,30.1,82.5,99.80,0.0554
B07_2023_024,55874,37.12369,42.85843,0.5,0.7,0.60,2023-10-03T00:00,7.50,23.61,0.05,<0.05,3.66,0.83,158.8,0.29,2.11,1.65,2.86,6.90,9.9,33.1,22.5,65.5,11.6,16.1,27.7,93.2,100.10,0.0275
B07_2023_025,55878,37.11048,42.81352,0.3,0.5,0.40,2023-10-03T00:00,7.60,27.77,0.04,<0.05,4.37,1.03,226.0,0.68,1.24,1.82,4.13,7.90,5.2,15.0,22.0,42.2,12.3,37.6,49.9,92.1,100.00,0.0262
