Bulk Density [g/cm³],Field Capacity [m³/m³],Wilting Point [m³/m³],Available Water Capacity [m³/m³],Hydraulic Conductivity [cm/hr],CEC [cmol/kg],Infiltration Rate [cm/hr],Salinity Class
1.0,0.399691604,0.17911696800000002,0.22057463599999996,1.45503592629398,28.94012,1.4413385826771654,Non-saline
1.0,0.37300353199999997,0.179885144,0.19311838799999997,1.1195247948335025,21.870060000000002,0.7884615384615384,Non-saline
1.0076,0.28480567999999995,0.15003056,0.13477511999999994,2.6687857904009844,18.0894,1.9929999999999999,Non-saline
1.37503,0.262397852,0.146354584,0.11604326799999998,1.5961500528233934,8.445260000000001,1.0008849557522124,Non-saline
1.0,0.46964021199999995,0.25,0.21964021199999995,0.49896917469650204,22.48686,0.17551229508196722,Non-saline
1.10229,0.43984831599999996,0.25,0.18984831599999996,0.48012433275499417,18.203580000000002,0.1530905077262693,Non-saline
1.06837,0.466432124,0.25,0.216432124,0.3882877744200231,20.426920000000003,0.1,Non-saline
1.25922,0.406589992,0.23344046400000001,0.173149528,0.43314541003703544,14.11676,0.1,Non-saline
1.17626,0.437199512,0.25,0.187199512,0.4122434050163191,17.542360000000002,0.1,
1.2949899999999999,0.250229748,0.114384616,0.13584513199999998,1.9189944408222708,9.26644,1.7211678832116788,Non-saline
1.2322300000000002,0.3678607,0.17742940000000001,0.19043129999999997,0.593572424267932,13.416500000000001,0.216793893129771,Non-saline
1.2190400000000001,0.391059512,0.22538830399999998,0.16567120800000001,0.5631624849949088,15.06646,0.2047945205479452,
1.31748,0.271839512,0.118388304,0.153451208,1.3825273025028009,8.88696,1.1933774834437085,Non-saline
1.0,0.39428400399999997,0.216377768,0.17790623599999997,1.2081301331394596,24.345020000000005,0.7179687499999999,Non-saline
1.0320500000000001,0.44462735600000003,0.25,0.19462735600000003,0.45800868839487213,20.228880000000004,0.10755968169761272,Non-saline
1.16262,0.393441888,0.219470496,0.17397139200000003,0.5987337183673559,15.98004,0.2327433628318584,Non-saline
1.17619,0.44158594,0.25,0.19158594,0.3734854750230324,16.2882,0.1,Non-saline
1.25956,0.41720618400000004,0.25,0.16720618400000004,0.41361255837573685,14.69892,0.1,Non-saline
1.15694,0.33529140799999996,0.173918336,0.16137307199999995,1.0788317434713084,14.65914,0.6677215189873418,Non-saline
1.24541,0.410078324,0.23034720800000003,0.17973111599999997,0.418941821492399,13.466020000000002,0.1,Non-saline
1.02822,0.49675664799999997,0.25,0.24675664799999997,0.35113467330143555,21.952840000000002,0.1,Non-saline
1.1329,0.475915704,0.25,0.225915704,0.37231772874658486,19.737319999999997,0.1036789297658863,Non-saline
