Event,Lab label,Latitude,Longitude,Depth top [m],Depth bot [m],Depth sed [m],Date/Time,pH,CaCO3 [%],TN [%],TS [%],TC [%],TOC [%],EC [µS/cm],2000-630 µm [%],630-200 µm [%],200-125 µm [%],125-63 µm [%],2000-63 µm [%],63-20 µm gU [%],20-6.3 µm mU [%],6.3-2 µm fU [%],63-2 µm [%],2-0.63 µm [%],0.63-0.063 µm [%],2-0.063 µm [%],63-0.063 µm [%],<2000 µm [%],Part size mean [mm],Bulk Density [g/cm³],Field Capacity [m³/m³],Wilting Point [m³/m³],Available Water Capacity [m³/m³],Hydraulic Conductivity [cm/hr],CEC [cmol/kg],Infiltration Rate [cm/hr],Salinity Class
EHS_2017_B227,41647,37.07511,42.46149,0.0,0.1,0.05,2017-09-01T00:00,7.26,32.47,0.06,<0.05,4.33,0.44,,0.95,3.37,17.47,26.18,47.98,13.3,11.6,8.9,36.5,7.1,8.6,15.7,52.2,100.2,0.1892,1.36206,0.240840944,0.116485248,0.124355696,1.9059597133041857,7.74672,1.5280254777070064,
EHS_2017_B227,41648,37.07573,42.4618,0.0,0.1,0.05,2017-09-01T00:00,7.15,24.02,0.08,<0.05,3.38,0.5,,0.21,1.64,10.27,23.23,35.36,14.5,12.7,8.8,38.0,7.5,19.1,26.6,64.6,100.0,0.2044,1.29614,0.3084138,0.1726196,0.1357942,1.1452853794688644,10.928,0.6646616541353383,
EHS_2017_B232b,41653,36.87092,42.57642,0.0,0.1,0.05,2017-09-01T00:00,7.3,37.54,0.22,<0.05,6.67,2.17,,2.95,6.28,3.68,7.52,20.43,13.4,22.2,23.4,60.4,12.2,6.9,19.1,79.5,99.9,0.0857,1.0,0.39735829199999995,0.180609064,0.21674922799999993,0.8467470974722267,22.182859999999998,0.5348167539267015,
EHS_2017_B238,41661,37.07486,42.41954,0.0,0.1,0.05,2017-09-01T00:00,7.09,28.36,0.10,<0.05,4.13,0.73,,0.48,2.24,1.78,3.96,8.45,7.7,20.5,30.9,59.4,19.5,12.6,32.1,91.5,100.0,0.1275,1.21035,0.39388974800000004,0.206384616,0.18750513200000005,0.5021040409674691,13.97724,0.13161993769470404,
EHS_2017_C105,41669,37.07609,42.45593,0.0,0.1,0.05,2017-09-01T00:00,7.26,31.26,0.22,<0.05,6.42,2.67,,3.2,7.47,4.39,7.94,22.99,8.2,18.5,18.6,45.9,13.0,17.8,30.8,76.7,99.7,0.1155,1.0,0.460132092,0.25,0.210132092,0.7648807246194887,29.214659999999995,0.37321428571428567,
EHS_2017_C114,41670,37.16204,42.71919,0.0,0.1,0.05,2017-09-01T00:00,7.32,26.43,0.07,<0.05,3.42,0.25,,1.63,4.25,2.5,3.41,11.79,4.8,15.8,24.4,45.5,17.0,25.7,42.7,88.2,100.0,0.1322,1.28783,0.40062689999999995,0.24630980000000002,0.15431709999999993,0.47101389232308605,13.980900000000004,0.13805620608899297,
EHS_2017_C114,41672,37.16232,42.71912,0.0,0.1,0.05,2017-09-01T00:00,7.11,15.46,0.17,<0.05,3.32,1.46,,1.36,7.59,6.6,9.36,24.9,20.2,16.4,9.6,46.9,13.9,14.1,28.0,74.9,99.8,0.307,1.03722,0.38385949599999997,0.20576923200000002,0.17809026399999994,0.8402987482934726,18.634680000000003,0.4446428571428571,
EHS_2017_C118,41673,37.2069,42.7817,0.0,0.1,0.05,2017-09-01T00:00,7.38,34.16,0.08,<0.05,4.82,0.72,,3.8,17.48,11.49,13.6,46.36,8.6,11.4,10.9,31.6,8.1,13.5,21.6,53.2,99.6,0.2434,1.26128,0.279754272,0.15361222400000002,0.126142048,1.6707586436540434,11.806560000000001,1.073148148148148,
EHS_2017_C118,41675,37.20683,42.782,0.0,0.1,0.05,2017-09-01T00:00,7.28,33.32,0.12,<0.05,5.1,1.11,,3.5,9.46,6.08,9.03,28.06,8.2,15.5,16.0,40.6,11.5,19.9,31.4,72.0,100.1,0.102,1.1136300000000001,0.371737836,0.21323551200000002,0.15850232399999997,0.8721550837570049,17.340580000000003,0.44681528662420383,
EHS_2018_B258,47252,36.83002,42.61481,0.0,0.1,0.05,2018-04-23T00:00,7.45,34.75,0.07,<0.05,4.41,0.24,,2.82,2.23,0.8,1.83,7.68,5.2,17.0,28.9,51.5,18.1,22.6,40.7,92.2,99.9,0.0424,1.29966,0.401131424,0.236037408,0.165094016,0.43302574407055106,13.86842,0.1,
EHS_2018_B258,47253,36.83017,42.61468,0.0,0.1,0.05,2018-04-23T00:00,7.45,27.89,0.09,<0.05,4.28,0.93,,1.99,1.75,0.73,1.98,6.45,6.6,17.3,25.0,49.3,15.9,28.0,43.9,93.2,99.6,0.039,1.10347,0.45067926799999997,0.25,0.20067926799999997,0.39927646939216505,20.16544,0.1,
EHS_2018_B258,47254,36.83019,42.61461,0.0,0.1,0.05,2018-04-23T00:00,7.42,30.02,0.09,<0.05,4.14,0.54,,1.92,1.55,0.56,1.44,5.46,5.3,16.9,27.4,50.0,17.1,27.4,44.5,94.5,100.0,0.0324,1.20328,0.43471570400000004,0.25,0.18471570400000004,0.38508244145909076,17.183320000000002,0.1,
