Event,Lab label,Latitude,Longitude,Depth top [m],Depth bot [m],Depth sed [m],Date/Time,pH,CaCO3 [%],TN [%],TS [%],TC [%],TOC [%],2000-630 µm [%],630-200 µm [%],200-125 µm [%],125-63 µm [%],2000-63 µm [%],63-20 µm gU [%],20-6.3 µm mU [%],6.3-2 µm fU [%],63-2 µm [%],2-0.63 µm [%],0.63-0.063 µm [%],2-0.063 µm [%],63-0.063 µm [%],<2000 µm [%],Part size mean [mm],Bulk Density [g/cm³],Field Capacity [m³/m³],Wilting Point [m³/m³],Available Water Capacity [m³/m³],Hydraulic Conductivity [cm/hr],CEC [cmol/kg],Infiltration Rate [cm/hr]
EHS_2017_B224,41643.0,0.6189011828336484,-1.554988703292623,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.8782814206155887,-0.5369333832670733,2.1781817546680546,3.469446951953614e-18,0.43401073348844443,1.586324402760318,0.1588975146604979,1.1756769741831763,0.9072523247237076,0.3669151947508045,0.5426531756688538,-0.26847595933763446,-0.23505995190856313,0.0006752608001177115,-0.24370658894227518,0.12915214765378552,-0.4659398799324416,-0.3758074546273797,-0.5294946676653969,0.7709519723114197,0.26395765514536157,-1.1468100713249145,0.34555877106919924,0.613662974468658,-0.04513721158790439,0.3609384366685033,1.2248941367624582,0.16262912233739074
EHS_2017_B227,41647.0,0.6972796893890842,-1.5779785369822685,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.12289944793597414,0.2719641484893945,-0.668463846054432,3.469446951953614e-18,-0.23555147916867367,-0.8300420309545617,-0.830605807514097,-0.3952490041686481,2.1664930651890315,2.383409070757242,1.938925388235046,0.997698870726316,-0.965463970436261,-1.3849599010424498,-0.7732099159893755,-1.3878978525816106,-1.246051828821034,-1.4564488075600528,-1.925474182128314,1.1049718820883458,1.3992848788110126,1.759931223635811,-2.2663747109536647,-2.2402590083116127,-1.8308553798017357,2.039356117709921,-1.786132358930667,2.124387801959587
EHS_2017_B227,41648.0,0.702602216668844,-1.5758885521014003,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.7164138550413839,-0.5965471784918196,-0.3521698904186001,3.469446951953614e-18,-0.9583743223780627,-0.7503815990738514,-1.1331812035509563,-0.7896905052642442,2.1664930651890315,2.383409070757242,1.0905404425159635,1.2509338367391059,-0.7483168297928915,-1.3995455343250032,-0.6233504838062338,-1.2915772176460296,-0.34592265702650415,-0.6915792785362777,-1.0892352459283063,0.4369320625345411,1.6254575367365418,1.2307029571501154,-1.3413279571812515,-0.9745854884993679,-1.5127997156115902,1.073403420805293,-1.25202846286527,0.7724166206159016
EHS_2017_B232b,41653.0,-1.055634577155996,-0.8031334971144826,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.09292397282963069,0.793070944678123,1.861887799032223,3.469446951953614e-18,1.5448753135786633,1.4668337549392527,-0.012834466873935867,0.2682335207956203,0.13529059478518685,0.33113190050016816,0.08686474999727051,1.0188017845607151,1.1270448393998456,0.729956924927785,1.6145503701286816,-0.15980975715295678,-1.3917870280639577,-1.2178656517177742,-0.0843997500105542,0.10291215275766251,-0.14077236430032267,-1.1468100713249145,-0.12371161741108976,-0.7944452951594106,0.7382118852124153,0.3389507244967209,0.637545726036868,0.4239256295146892
EHS_2017_B238,41661.0,0.6951335090343247,-1.8608006845716993,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-1.0401489861897935,-0.15047153836182323,-0.03587593478276816,3.469446951953614e-18,-0.38772470931801883,-0.44501661019779515,-1.0227820725645347,-0.6528899846530547,-0.5283869105918222,-0.4182123791013892,-0.7184959195522233,-0.18406430400003768,0.7914538038600928,1.823879421119286,1.5146440820065872,1.598041830421391,-0.9031454776612132,-0.30563593820318014,0.724863736634615,0.4369320625345411,0.48120244499488324,0.5419515466251176,-0.17119466840891487,-0.2132782831140322,-0.07494081175917716,-0.5089272106914955,-0.7400927124634032,-0.6582151235820266
EHS_2017_C105,41669.0,0.7056927163796881,-1.6154634271037462,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.12289944793597414,0.14759743776190729,1.861887799032223,3.469446951953614e-18,1.354658775891982,2.1306706872785055,0.08938695070608424,0.5395545533411458,0.38329639942606897,0.4195376862958577,0.2589618546756263,-0.07854973482804202,0.39664082087214814,0.029846527365224817,0.16590919235831217,0.03283151271820476,-0.45736722115344597,-0.3968589095546396,-0.27322789689442684,-0.5651276667961421,0.3026450834747285,-1.1468100713249145,0.7356378810318764,0.770127325366897,0.5542177557776139,0.13754614121659944,1.8181119686664557,-0.009799562782088836
EHS_2017_C114,41670.0,1.4435495223424735,0.15940566882932491,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.2008356832124355,-0.3488415810924437,-0.5103168682365159,3.469446951953614e-18,-0.9279396763481937,-1.0823000652434778,-0.5525635516964422,-0.19460824060557042,-0.27688806644895564,-0.5339818605005062,-0.4939629782921808,-0.7960488051976137,-0.136356706161577,0.8758132577533184,0.12594667710947455,0.9960378620740117,0.2198728223872001,0.4381821358933351,0.5023162778071937,0.4369320625345411,0.5511374115902774,1.1639874399399188,-0.07896561437468495,0.6869235783491857,-0.9977574284184737,-0.5854140295603688,-0.7394782364475854,-0.6409408097805982
EHS_2017_C114,41672.0,1.4459532443398238,0.15893373675944372,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.9322372758069887,-1.4763645700846233,1.0711529099426436,3.469446951953614e-18,-1.0040262914228664,0.5241853110175139,-0.6629626826828638,0.5669146574633837,1.15525812936459,0.7184334382717595,0.38736242886924344,2.3588368130450625,-0.017912811265194013,-1.2828604680645765,0.2658154804804066,0.2495529413232614,-0.7745555959762803,-0.5933391555423984,-0.394617419891202,-0.23110775701926356,2.5113624460287265,-0.8479952036277421,-0.3085050116644866,-0.22715348084172904,-0.3367278509561368,0.3230867374415251,0.041843127730111215,0.1819077249903953
EHS_2017_C118,41673.0,1.8286601251986885,0.580841007227805,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5245708143608403,0.44566641388563705,-0.3521698904186001,3.469446951953614e-18,0.13727293469722185,-0.45829334884458023,0.33471835289813234,2.255831084842359,2.1664930651890315,1.6109108948758617,1.830020189180774,0.005861920509554742,-1.0049452687350553,-1.093247235391383,-1.262750727787638,-1.1470962652426588,-0.8259915486502535,-1.0424368606572754,-1.8580355582412165,-0.8991475765730682,2.205768961677045,0.950834975206981,-1.7336660187995079,-1.403148955025441,-1.7811846036375278,2.039356117709921,-1.104527356729622,1.868754350640316
EHS_2017_C118,41675.0,1.828059194699351,0.5828635732415267,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.014987737553169332,0.3593291932153156,0.28041802085306355,3.469446951953614e-18,0.35031545690630445,0.05949945838003708,0.2120526518021083,0.9932762800349241,0.9736200752614087,0.6489717494322894,0.5997947924565891,-0.07854973482804202,-0.1955786536097688,-0.34937993798116235,-0.3635941346887881,-0.32837086829022283,-0.2773413867945402,-0.35475599970012,-0.590189429163785,0.7709519723114197,0.1017680517645542,-0.2345496356336289,-0.4744459367207375,-0.05880963165106314,-0.8813843258602604,0.40145850041685155,-0.17542283185163898,0.1877383128828386
